Date,Value
2012-12-31,55.5044917086
2011-12-31,62.5072115316
2009-12-31,68.592531849
2008-12-31,71.6627923879
2007-12-31,77.1577719536
2006-12-31,80.446233094
2005-12-31,87.673071813
2004-12-31,91.3611055095
2003-12-31,92.6031285345
2002-12-31,90.0377321592
2001-12-31,90.324571832
1999-12-31,88.669279611
1998-12-31,84.9903820205
1997-12-31,86.0500730835
1996-12-31,84.2511167875
1995-12-31,83.1633121792
1993-12-31,98.288968006
1992-12-31,98.4016174525
1990-12-31,91.7793275353
1989-12-31,82.2022625151
1988-12-31,84.0280902174
1987-12-31,81.8849807776
1986-12-31,74.308004093
1985-12-31,82.9053439698
1984-12-31,86.9268357486
1983-12-31,85.5397756063
1982-12-31,77.101868932
1981-12-31,76.187037006
